LocationName,AverageTemperature,NrOfPredators,NrFoodSources,NrWaterSources,NrHumans,VegetationType,LandSize
Muddy Loch,36.2,18,12,8,12,Wetland,980
Sunny Field,30.38,17,14,10,29,Fields,139
Open Plain,5.01,17,14,5,29,Savanna,887
Steep Highlands,22.66,19,10,8,1,Hills,987
Marshy Loch,2.24,17,3,2,23,Wetland,314
Muddy Marsh,35.82,19,6,6,9,Wetland,233
Peaceful Valley,12.2,17,13,6,29,Meadow,567
Endless Plain,6.74,18,20,10,18,Savanna,923
Golden Basin,31.19,19,11,2,7,Desert,508
Quiet Meadow,37.98,15,7,7,50,Meadow,119
Enchanted Grove,37.17,18,13,8,19,Forest,849
Vast Desert,32.36,15,9,1,42,Desert,785
Vast Basin,34.29,19,3,2,10,Desert,789
Serene Clearing,32.52,17,5,4,29,Meadow,833
Enchanted Woods,1.55,18,9,8,12,Forest,101
Dark Forest,37.17,19,7,5,2,Forest,166
Open Savanna,31.56,18,11,7,19,Savanna,85
Marshy Bog,19.7,16,13,8,34,Wetland,659
Lush Farmland,15.65,15,6,2,48,Fields,791
Steep Hills,13.18,19,10,5,5,Hills,791
Barren Basin,39.24,18,2,0,12,Desert,661
Sunny Farmland,35.42,19,12,3,8,Fields,570
Peaceful Clearing,1.01,18,7,4,11,Meadow,257
Open Plain,22.73,18,7,0,15,Savanna,618
Enchanted Thicket,20.61,16,17,10,31,Forest,161
Marshy Marsh,32.44,16,15,8,38,Wetland,256
Muddy Bog,2.3,19,13,6,4,Wetland,131
Endless Steppe,2.8,19,16,7,2,Savanna,421
Endless Steppe,26.54,15,16,6,47,Savanna,248
Golden Prairie,32.36,15,10,4,49,Savanna,493
Misty Hills,24.75,15,11,7,43,Hills,621
Sprawling Steppe,7.76,19,10,6,3,Savanna,87
Wide Field,28.72,16,10,7,32,Fields,41
Muddy Bog,6.21,16,10,7,33,Wetland,922
Peaceful Creek,5.41,15,17,10,44,Meadow,225
Dark Forest,37.79,17,11,7,26,Forest,956
Peaceful Glade,36.99,15,15,6,49,Meadow,709
Steep Highlands,39.44,18,13,10,19,Hills,298
Open Pasture,23.8,19,12,2,10,Fields,247
Dense Woods,24.86,18,8,3,14,Forest,983
Swampy Swamp,29.49,17,4,3,29,Wetland,252
Swampy Swamp,32.2,18,13,3,20,Wetland,935
Flowering Valley,12.66,17,7,7,26,Meadow,637
Flooded Loch,25.48,18,8,4,12,Wetland,668
Open Glade,12.3,15,14,7,49,Meadow,328
Dark Jungle,15.7,18,13,10,14,Forest,176
Wild Steppe,30.91,17,6,5,25,Savanna,964
Steep Hills,10.31,15,6,4,48,Hills,640
Open Plain,15.59,18,11,1,13,Savanna,522
Ancient Grove,21.46,19,8,7,1,Forest,211
Flowering Creek,8.99,15,10,4,44,Meadow,764
Muddy Loch,37.61,15,14,7,41,Wetland,363
Sunny Pasture,24.82,19,4,2,6,Fields,370
Flowering Creek,1.26,16,9,3,38,Meadow,38
Sunny Farmland,6.42,19,16,10,5,Fields,984
Misty Highlands,27.89,16,9,5,31,Hills,58
Open Valley,35.01,15,10,5,43,Meadow,145
Flooded Bog,28.8,19,7,1,3,Wetland,319
Serene Meadow,5.04,17,8,4,26,Meadow,566
Wide Grassland,26.6,18,10,2,12,Fields,288
Sprawling Steppe,0.99,19,3,0,7,Savanna,259
Flooded Loch,14.52,15,15,8,41,Wetland,76
Peaceful Creek,12.67,16,7,7,39,Meadow,957
Vast Expanse,35.7,17,8,1,23,Desert,313
Windy Uplands,13.66,17,17,10,25,Hills,545
Ancient Jungle,23.13,17,11,3,27,Forest,918
Steep Ridges,27.86,18,10,9,12,Hills,664
Foggy Bog,31.29,16,5,3,33,Wetland,433
Open Grassland,38.06,16,14,6,34,Fields,243
Misty Hills,9.42,15,5,3,46,Hills,839
Swampy Bog,39.27,16,15,9,38,Wetland,297
Green Knolls,32.08,19,10,4,8,Hills,903
Flooded Marsh,20.84,19,1,1,8,Wetland,596
Swampy Loch,31.5,19,10,3,8,Wetland,33
Flooded Loch,15.91,19,11,3,7,Wetland,553
Golden Savanna,13.54,15,10,9,42,Savanna,822
Barren Basin,34.85,19,8,1,10,Desert,353
Green Grassland,6.43,16,2,0,37,Fields,63
Open Plain,19.38,19,7,1,4,Savanna,741
Misty Uplands,9.89,15,11,10,47,Hills,425
Flooded Marsh,35.71,17,12,9,25,Wetland,446
Windy Highlands,15.42,19,15,5,1,Hills,40
Quiet Clearing,8.75,18,13,6,15,Meadow,876
Open Field,5.66,19,15,5,8,Fields,808
Green Pasture,27.32,19,11,2,2,Fields,594
Sunny Pasture,28.05,17,14,7,28,Fields,90
Windy Highlands,0.23,15,18,9,43,Hills,641
Muddy Bog,7.99,19,12,2,4,Wetland,893
Quiet Glade,14.46,18,10,1,16,Meadow,799
Dark Forest,23.64,18,5,4,20,Forest,81
Peaceful Valley,22.66,17,17,8,21,Meadow,908
Peaceful Clearing,13.45,15,4,1,41,Meadow,320
Green Hills,11.13,19,3,0,1,Hills,138
Marshy Loch,19.88,16,5,2,34,Wetland,542
Peaceful Meadow,30.21,15,12,5,47,Meadow,575
Dark Grove,6.4,19,4,0,8,Forest,85
Golden Plain,14.64,18,4,2,17,Savanna,683
Muddy Marsh,11.45,15,18,10,45,Wetland,956
Open Meadow,22.72,15,9,9,47,Meadow,825
Serene Clearing,28.74,16,3,1,32,Meadow,938
Dense Woods,0.4,17,7,5,25,Forest,410
Green Uplands,14.8,16,8,6,39,Hills,40
Open Plains,39.22,16,3,3,38,Fields,30
Enchanted Woods,3.85,17,9,6,23,Forest,485
Arid Basin,39.38,15,0,0,48,Desert,760
Green Farmland,38.83,19,13,10,5,Fields,582
Hot Wasteland,32.89,18,7,1,11,Desert,594
Dense Forest,14.09,16,9,1,39,Forest,292
Open Plain,3.87,19,7,6,1,Savanna,802
Muddy Wetland,30.86,18,17,9,13,Wetland,125
Lush Pasture,16.08,19,16,6,7,Fields,124
Dense Jungle,22.0,15,10,5,47,Forest,812
Green Field,34.06,16,11,7,38,Fields,720
Misty Knolls,25.09,15,11,9,41,Hills,483
Misty Grove,3.1,17,19,9,24,Forest,616
Enchanted Woods,6.23,19,8,8,6,Forest,606
Arid Dunes,36.03,16,2,1,38,Desert,428
Endless Savanna,36.84,16,14,5,38,Savanna,231
Marshy Bog,20.04,15,16,10,47,Wetland,485
Golden Wasteland,39.36,16,4,2,37,Desert,384
Peaceful Meadow,1.66,16,5,3,31,Meadow,796
Muddy Loch,31.08,15,13,5,43,Wetland,344
Green Uplands,8.32,16,14,7,34,Hills,395
Marshy Bog,1.6,17,8,4,23,Wetland,221
Endless Savanna,22.69,16,15,6,32,Savanna,592
Peaceful Meadow,17.43,20,7,4,0,Meadow,444
Steep Knolls,25.18,19,8,2,4,Hills,213
Wild Steppe,36.31,15,10,7,46,Savanna,927
Arid Expanse,33.24,15,6,2,46,Desert,841
Dense Woods,13.46,18,11,5,12,Forest,582
Sprawling Steppe,38.72,16,13,9,38,Savanna,50
Ancient Grove,6.76,16,1,1,35,Forest,921
Foggy Swamp,32.42,19,9,8,7,Wetland,779
Misty Highlands,20.91,16,11,8,33,Hills,700
Windy Knolls,34.24,19,11,5,3,Hills,691
Sunny Pasture,30.53,15,9,7,47,Fields,23
Open Prairie,3.23,16,8,2,31,Savanna,160
Swampy Marsh,1.11,17,12,4,22,Wetland,398
Sunny Farmland,15.09,18,6,3,14,Fields,863
Serene Meadow,1.88,18,5,4,18,Meadow,721
Sprawling Prairie,27.0,17,7,7,25,Savanna,518
Vast Desert,39.19,15,1,0,49,Desert,863
Lush Plains,7.08,17,9,5,22,Fields,785
Endless Steppe,9.95,16,9,1,35,Savanna,405
Peaceful Glade,17.85,15,9,1,50,Meadow,494
Green Highlands,2.16,17,5,2,29,Hills,68
Quiet Creek,4.07,18,5,5,15,Meadow,416
Enchanted Jungle,9.51,19,3,2,8,Forest,541
Lush Farmland,3.97,17,7,2,29,Fields,293
Muddy Bog,33.7,15,8,4,43,Wetland,940
Steep Hills,31.81,15,13,4,45,Hills,285
Hot Desert,37.83,16,6,0,34,Desert,571
Sprawling Savanna,22.33,17,11,1,25,Savanna,283
Open Savanna,6.95,17,1,0,27,Savanna,311
Green Pasture,29.31,15,15,9,44,Fields,660
Sprawling Savanna,7.03,20,15,8,0,Savanna,140
Open Plain,34.89,19,10,4,8,Savanna,358
Ancient Thicket,0.73,15,11,3,49,Forest,977
Sunny Pasture,15.24,17,12,10,25,Fields,91
Swampy Swamp,7.82,19,19,9,2,Wetland,276
Lush Field,33.62,18,8,7,11,Fields,279
Windy Ridges,4.53,16,13,8,37,Hills,436
Open Meadow,29.5,16,7,7,36,Meadow,341
Flowering Meadow,26.46,17,10,10,23,Meadow,973
Windy Highlands,26.36,15,12,9,42,Hills,926
Peaceful Clearing,26.15,18,7,6,16,Meadow,665
Barren Expanse,31.87,16,6,1,35,Desert,235
Dark Jungle,9.46,16,3,1,38,Forest,257
Dense Jungle,27.81,18,3,0,14,Forest,952
Peaceful Clearing,25.95,15,5,0,47,Meadow,31
Flooded Loch,39.19,16,10,10,32,Wetland,743
Golden Steppe,24.99,17,17,7,27,Savanna,441
Windy Highlands,9.37,16,10,7,35,Hills,84
Enchanted Woods,30.4,17,10,3,29,Forest,654
Dark Woods,24.21,16,6,4,40,Forest,421
Enchanted Woods,1.79,15,11,7,46,Forest,882
Windy Knolls,34.8,15,10,10,44,Hills,416
Golden Dunes,32.52,18,3,2,12,Desert,543
Arid Wasteland,35.46,20,2,0,0,Desert,333
Barren Wasteland,34.39,15,11,1,43,Desert,321
Dark Forest,26.74,19,10,5,6,Forest,627
Barren Desert,34.63,17,5,2,30,Desert,508
Ancient Forest,15.7,18,12,2,19,Forest,884
Serene Glade,5.4,16,6,1,37,Meadow,346
Dark Jungle,21.44,15,11,1,50,Forest,66
Golden Expanse,34.25,18,9,1,11,Desert,381
Open Creek,8.72,17,13,5,27,Meadow,131
Golden Expanse,36.56,16,9,1,40,Desert,671
Foggy Bog,36.73,17,12,7,24,Wetland,315
Ancient Forest,0.16,19,10,6,2,Forest,266
Windy Hills,16.57,15,14,8,45,Hills,186
Steep Highlands,4.44,19,9,1,3,Hills,444
Open Prairie,4.17,15,8,5,42,Savanna,940
Vast Dunes,38.17,18,3,0,20,Desert,545
Green Plains,33.85,17,15,9,28,Fields,713
Ancient Woods,32.13,17,12,9,25,Forest,344
Enchanted Forest,17.7,15,8,3,43,Forest,302
Dense Jungle,3.66,15,12,7,41,Forest,701
Misty Forest,26.35,19,3,1,5,Forest,204
Flowering Clearing,24.15,16,15,6,38,Meadow,649
Endless Prairie,19.77,16,6,2,37,Savanna,780
Sprawling Prairie,31.83,19,15,5,9,Savanna,1
Lush Plains,9.49,15,13,4,44,Fields,955
Wild Plain,32.17,17,9,5,23,Savanna,421
Marshy Marsh,28.36,20,18,10,0,Wetland,81
Open Steppe,37.99,19,9,8,8,Savanna,727
Dense Grove,33.01,17,16,10,29,Forest,51
Enchanted Jungle,2.29,18,3,0,11,Forest,508
Serene Meadow,36.13,19,7,3,2,Meadow,657
Rolling Uplands,15.7,19,9,1,5,Hills,563
Swampy Marsh,26.03,15,9,9,42,Wetland,813
Windy Highlands,21.94,17,7,4,29,Hills,250
Steep Hills,17.66,16,11,2,32,Hills,973
Endless Prairie,12.21,16,12,8,38,Savanna,162
Green Grassland,26.85,17,16,10,22,Fields,929
Flooded Marsh,9.31,18,14,5,16,Wetland,239
Swampy Wetland,8.91,18,3,3,14,Wetland,897
Windy Uplands,11.43,19,10,2,2,Hills,334
Golden Dunes,32.49,16,8,2,40,Desert,666
Quiet Glade,7.25,15,17,10,47,Meadow,15
Open Creek,29.05,19,10,8,2,Meadow,608
Sunny Farmland,35.12,17,11,6,23,Fields,297
Arid Desert,34.14,20,6,2,0,Desert,690
Steep Highlands,33.46,15,19,9,43,Hills,514
Steep Hills,39.89,16,11,6,36,Hills,615
Sprawling Steppe,39.13,16,7,6,31,Savanna,849
Swampy Wetland,24.41,17,12,8,22,Wetland,279
Misty Knolls,2.75,17,6,2,22,Hills,566
Marshy Wetland,21.78,18,9,5,17,Wetland,202
Enchanted Woods,26.0,18,10,0,18,Forest,173
Endless Steppe,38.88,16,14,8,40,Savanna,161
Barren Desert,34.29,19,0,0,8,Desert,320
Flowering Glade,1.05,19,9,2,5,Meadow,256
Dark Thicket,13.57,17,4,3,25,Forest,435
Open Grassland,29.18,17,19,10,30,Fields,377
Serene Clearing,21.46,17,16,9,25,Meadow,101
Serene Valley,26.65,18,15,9,18,Meadow,82
Sprawling Savanna,3.93,19,13,7,1,Savanna,585
Sprawling Savanna,9.15,19,15,10,4,Savanna,543
Flowering Meadow,29.12,15,7,5,44,Meadow,854
Open Plain,34.29,16,14,9,35,Savanna,57
Swampy Loch,7.37,17,10,8,28,Wetland,368
Flowering Meadow,12.0,18,3,2,14,Meadow,746
Misty Knolls,38.13,19,13,6,7,Hills,287
Sprawling Savanna,17.26,18,17,9,15,Savanna,930
Open Glade,11.72,18,15,6,16,Meadow,875
Endless Steppe,33.97,15,15,5,42,Savanna,469
Wide Field,20.56,18,10,5,16,Fields,107
Open Clearing,6.15,15,16,9,43,Meadow,187
Foggy Bog,23.8,17,10,9,28,Wetland,896
Vast Wasteland,35.12,16,5,2,31,Desert,125
Marshy Swamp,11.16,16,6,3,31,Wetland,900
Enchanted Jungle,3.32,19,8,0,5,Forest,654
Flooded Bog,18.68,18,4,1,12,Wetland,347
Swampy Bog,14.4,16,6,5,32,Wetland,277
Sprawling Plain,17.85,19,4,3,5,Savanna,984
Green Ridges,15.01,15,15,8,49,Hills,692
Green Plains,34.61,16,3,3,38,Fields,413
Sprawling Plain,19.06,18,19,9,19,Savanna,38
Foggy Loch,12.43,18,14,9,19,Wetland,927
Misty Uplands,26.83,19,14,8,6,Hills,495
Serene Glade,0.9,16,3,2,32,Meadow,490
Foggy Loch,33.16,15,13,7,48,Wetland,640
Wild Plain,32.96,19,11,9,6,Savanna,662
Dark Thicket,24.05,19,11,2,3,Forest,365
Rolling Knolls,38.61,19,8,5,7,Hills,708
Quiet Valley,2.98,15,10,3,42,Meadow,629
Swampy Wetland,25.57,16,4,4,32,Wetland,337
Arid Basin,37.87,15,9,0,43,Desert,123
Marshy Loch,0.78,19,15,7,8,Wetland,746
Green Hills,38.2,17,7,5,25,Hills,90
Windy Hills,27.55,19,6,0,5,Hills,601
Serene Glade,1.03,19,4,1,4,Meadow,733
Quiet Creek,26.65,19,0,0,7,Meadow,328
Sprawling Steppe,16.46,17,15,5,24,Savanna,933
Misty Highlands,28.82,18,11,8,15,Hills,785
Lush Plains,0.26,15,12,7,46,Fields,380
Green Hills,17.49,16,15,10,36,Hills,251
Marshy Bog,37.1,18,10,7,14,Wetland,810
Green Field,3.41,19,9,0,6,Fields,25
Green Uplands,14.48,15,8,0,42,Hills,868
Wild Savanna,19.25,19,13,4,9,Savanna,278
Sprawling Prairie,39.22,15,14,10,49,Savanna,954
Green Pasture,9.06,19,16,9,8,Fields,225
Enchanted Thicket,33.99,18,12,5,18,Forest,157
Misty Woods,20.71,19,14,5,3,Forest,895
Muddy Wetland,1.73,18,15,8,14,Wetland,853
Wide Plains,20.11,15,6,6,49,Fields,976
Swampy Bog,39.44,17,15,5,25,Wetland,181
Rolling Highlands,16.59,17,13,4,28,Hills,871
Marshy Swamp,11.24,18,6,0,16,Wetland,720
Golden Expanse,38.85,16,2,1,38,Desert,792
Sprawling Prairie,38.06,17,19,9,21,Savanna,614
Peaceful Meadow,14.03,17,2,1,27,Meadow,656
Hot Dunes,36.39,18,6,0,13,Desert,121
Arid Basin,34.43,16,6,2,34,Desert,259
Swampy Wetland,30.25,15,7,3,44,Wetland,757
Green Plains,1.16,19,11,5,1,Fields,957
Flowering Glade,9.46,16,5,4,31,Meadow,386
Green Uplands,26.85,18,14,7,14,Hills,172
Sunny Grassland,13.04,15,6,6,41,Fields,319
Golden Basin,30.28,19,7,2,8,Desert,885
Wild Savanna,36.35,17,19,9,24,Savanna,372
Marshy Loch,23.9,17,17,7,25,Wetland,620
Lush Plains,12.43,19,18,9,1,Fields,519
Steep Uplands,27.61,17,12,4,27,Hills,639
Endless Steppe,24.32,19,10,3,8,Savanna,647
Misty Forest,20.98,15,15,8,47,Forest,624
Open Grassland,22.72,15,3,2,48,Fields,701
Dense Thicket,3.9,18,8,7,18,Forest,44
Green Grassland,21.62,18,5,1,13,Fields,631
Enchanted Jungle,10.96,18,15,7,14,Forest,401
Sunny Plains,18.63,18,15,9,13,Fields,509
Green Ridges,6.39,15,3,3,42,Hills,405
