LocationName,AverageTemperature,PredatorDensity,FoodAvailability,WaterSources,HumanActivity,Vegetation,LandArea
Cool Fields,33.7,high,high,close,high,forest,963
Golden Creek,15.4,high,low,far,moderate,meadow,218
Misty Bay,-7.9,medium,high,close,high,desert,237
Quiet Prairie,10.9,high,high,far,high,cliff,778
Quiet Bay,16.4,high,low,far,high,meadow,163
Gopher Meadow,5.3,high,high,far,low,meadow,181
Dark Prairie,5.4,medium,medium,far,moderate,meadow,170
Warm Cove,34.7,medium,medium,far,low,urban,604
Quiet Meadow,8.7,low,medium,far,moderate,cliff,461
Quiet Hills,15.5,medium,medium,far,high,meadow,633
Windy Creek,33.9,medium,low,far,high,meadow,784
Sunny River,33.4,low,low,far,moderate,urban,433
Golden Spring,14.8,medium,high,far,low,meadow,989
Cool Island,10.0,high,high,far,high,cliff,103
Bright Creek,5.1,medium,low,close,moderate,meadow,461
Warm Valley,21.6,medium,low,far,low,cliff,355
Ideal Gopher Habitat,20,low,high,close,low,meadow,250
